43.507 0 38.8307065963881 "LDA" 1 2 3 1.5
141.489 0 120.168949631157 "LDA" 1 2 3 2.66666666666667
145.274 0 124.525457290923 "LDA" 1 2 3 2.7020202020202
150.399 0 128.134953722103 "LDA" 1 2 3 2.73737373737374
155.37 0 131.801831636828 "LDA" 1 2 3 2.77272727272727
160.312 0 138.246232052366 "LDA" 1 2 3 2.80808080808081
167.165 0 145.150475147123 "LDA" 1 2 3 2.84343434343434
173.247 0 152.667328870012 "LDA" 1 2 3 2.87878787878788
178.957 0 156.677659671186 "LDA" 1 2 3 2.91414141414141
182.013 0 159.054484879114 "LDA" 1 2 3 2.94949494949495
186.934 0 165.897304256457 "LDA" 1 2 3 2.98484848484848
192.287 0 170.140760870256 "LDA" 1 2 3 3.02020202020202
197.57 0 175.218265430692 "LDA" 1 2 3 3.05555555555556
204.281 0 179.609982419644 "LDA" 1 2 3 3.09090909090909
211.434 0 188.802722734902 "LDA" 1 2 3 3.12626262626263
215.08 0 190.025059197789 "LDA" 1 2 3 3.16161616161616
217.702 0 191.174456632859 "LDA" 1 2 3 3.1969696969697
224.351 0 195.454419825261 "LDA" 1 2 3 3.23232323232323
228.919 0 198.391818764668 "LDA" 1 2 3 3.26767676767677
237.418 0 209.21554536033 "LDA" 1 2 3 3.3030303030303
244.391 0 217.114520089822 "LDA" 1 2 3 3.33838383838384
247.581 0 220.152671202594 "LDA" 1 2 3 3.37373737373737
253.723 0 228.318789723362 "LDA" 1 2 3 3.40909090909091
261.71 0 238.330399402341 "LDA" 1 2 3 3.44444444444444
271.092 0 248.718440004754 "LDA" 1 2 3 3.47979797979798
279.297 0 257.943520272657 "LDA" 1 2 3 3.51515151515152
287.004 0 263.742306026144 "LDA" 1 2 3 3.55050505050505
295.569 0 274.199099898934 "LDA" 1 2 3 3.58585858585859
302.841 0 279.249426070961 "LDA" 1 2 3 3.62121212121212
310.43 0 286.807733117111 "LDA" 1 2 3 3.65656565656566
314.82 0 288.72937892472 "LDA" 1 2 3 3.69191919191919
322.204 0 296.099340092482 "LDA" 1 2 3 3.72727272727273
328.992992992993 1 296.601395354782 "LDA" 1 2 3 3.76262626262626
